lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/26/2020,Lenowisco,162,7,166,10
8/26/2020,Lord Fairfax,388,12,396,14
8/26/2020,Loudoun,662,45,713,54
8/26/2020,Mount Rogers,225,29,248,39
8/26/2020,New River,574,73,601,75
8/26/2020,Norfolk,503,55,513,56
8/26/2020,Out of State,630,26,647,29
8/26/2020,Peninsula,529,64,546,64
8/26/2020,Piedmont,134,10,140,10
8/26/2020,Pittsylvania-Danville,259,27,259,27
8/26/2020,Portsmouth,382,40,382,40
8/26/2020,Prince William,961,95,1015,101
8/26/2020,Rappahannock,547,42,575,42
8/26/2020,Rappahannock Rapidan,259,24,279,30
8/26/2020,Richmond,678,30,707,33
8/26/2020,Roanoke,662,46,675,46
8/26/2020,Southside,167,16,172,16
8/26/2020,Thomas Jefferson,694,40,711,41
8/26/2020,Three Rivers,224,11,235,13
8/26/2020,Unknown,32,3,32,3
8/26/2020,Virginia Beach,787,38,827,43
8/26/2020,Western Tidewater,406,54,416,55
8/26/2020,West Piedmont,139,16,146,16
8/25/2020,Alexandria,190,10,209,14
8/25/2020,Alleghany,140,8,158,9
8/25/2020,Arlington,346,21,371,23
8/25/2020,Central Shenandoah,191,10,193,11
8/25/2020,Central Virginia,284,27,288,27
8/25/2020,Chesapeake,266,28,271,30
8/25/2020,Chesterfield,504,29,518,32
8/25/2020,Chickahominy,169,12,176,14
8/25/2020,Crater,267,52,267,52
8/25/2020,Cumberland Plateau,52,2,54,3
8/25/2020,Eastern Shore,53,3,54,4
8/25/2020,Fairfax,1482,81,1598,94
8/25/2020,Hampton,123,16,128,16
8/25/2020,Henrico,661,58,676,62
8/25/2020,Lenowisco,56,7,65,12
8/25/2020,Lord Fairfax,282,6,291,7
8/25/2020,Loudoun,499,24,544,28
8/25/2020,Mount Rogers,128,8,142,20
8/25/2020,New River,511,26,529,26
8/25/2020,Norfolk,383,24,386,24
8/25/2020,Out of State,569,29,570,29
8/25/2020,Peninsula,288,38,292,38
8/25/2020,Piedmont,96,9,96,9
8/25/2020,Pittsylvania-Danville,174,35,181,35
8/25/2020,Portsmouth,134,15,135,16
8/25/2020,Prince William,674,68,711,74
8/25/2020,Rappahannock,331,32,339,32
8/25/2020,Rappahannock Rapidan,124,15,135,17
8/25/2020,Richmond,428,27,431,27
8/25/2020,Roanoke,545,29,554,30
8/25/2020,Southside,112,8,112,8
8/25/2020,Thomas Jefferson,430,33,437,33
8/25/2020,Three Rivers,145,10,146,10
8/25/2020,Unknown,20,2,24,6
8/25/2020,Virginia Beach,566,33,582,35
