lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/24/2020,Henrico,592,70,600,72
8/24/2020,Lenowisco,57,5,63,10
8/24/2020,Lord Fairfax,205,12,209,12
8/24/2020,Loudoun,396,34,417,37
8/24/2020,Mount Rogers,106,16,113,23
8/24/2020,New River,533,8,536,10
8/24/2020,Norfolk,321,48,322,48
8/24/2020,Out of State,455,19,457,19
8/24/2020,Peninsula,257,31,258,31
8/24/2020,Piedmont,58,4,62,5
8/24/2020,Pittsylvania-Danville,61,10,65,10
8/24/2020,Portsmouth,113,11,113,11
8/24/2020,Prince William,641,57,668,61
8/24/2020,Rappahannock,269,25,275,26
8/24/2020,Rappahannock Rapidan,169,12,178,20
8/24/2020,Richmond,341,27,345,28
8/24/2020,Roanoke,630,49,637,49
8/24/2020,Southside,73,10,74,10
8/24/2020,Thomas Jefferson,318,14,333,14
8/24/2020,Three Rivers,107,4,110,4
8/24/2020,Unknown,32,0,33,0
8/24/2020,Virginia Beach,566,40,572,40
8/24/2020,Western Tidewater,227,38,227,38
8/24/2020,West Piedmont,52,13,58,13
8/23/2020,Alexandria,237,16,253,19
8/23/2020,Alleghany,121,14,125,14
8/23/2020,Arlington,431,13,458,17
8/23/2020,Central Shenandoah,233,20,237,21
8/23/2020,Central Virginia,441,44,445,44
8/23/2020,Chesapeake,380,46,395,49
8/23/2020,Chesterfield,364,21,395,24
8/23/2020,Chickahominy,151,8,158,8
8/23/2020,Crater,256,28,260,29
8/23/2020,Cumberland Plateau,70,4,73,4
8/23/2020,Eastern Shore,47,1,48,1
8/23/2020,Fairfax,1491,92,1593,103
8/23/2020,Hampton,115,9,118,9
8/23/2020,Henrico,493,85,517,91
8/23/2020,Lenowisco,145,8,148,9
8/23/2020,Lord Fairfax,398,12,403,12
8/23/2020,Loudoun,535,30,571,33
8/23/2020,Mount Rogers,309,31,314,31
8/23/2020,New River,921,25,924,25
8/23/2020,Norfolk,489,33,497,34
8/23/2020,Out of State,379,30,380,31
8/23/2020,Peninsula,419,30,438,31
8/23/2020,Piedmont,122,7,123,7
8/23/2020,Pittsylvania-Danville,125,20,126,20
8/23/2020,Portsmouth,159,16,160,16
8/23/2020,Prince William,668,62,693,63
8/23/2020,Rappahannock,304,37,321,37
8/23/2020,Rappahannock Rapidan,138,9,156,14
8/23/2020,Richmond,541,10,551,11
8/23/2020,Roanoke,550,72,551,72
8/23/2020,Southside,82,8,82,8
8/23/2020,Thomas Jefferson,304,16,309,16
8/23/2020,Three Rivers,128,12,134,12
8/23/2020,Unknown,48,4,48,4
8/23/2020,Virginia Beach,735,38,756,40
